remitente,asunto,mensaje,enlaces,etiqueta
maria.garcia@cliente.com,No olvides la reunión de mañana a,No olvides la reunión de mañana a las 10 AM.,,ham
noreply@loteria-gratis.win,Heredaste una gran suma de dinero. Contáctanos (urgente),Heredaste una gran suma de dinero. Contáctanos para recibirla.,https://loteria-gratis.win/reclamar-premio,spam
contabilidad@cliente.com,Nos vemos en la cafetería después del,Nos vemos en la cafetería después del trabajo.,,ham
facturacion@seguridadbancaria-alerta.com,Gana dinero fácil desde casa. Solo necesitas (urgente),Gana dinero fácil desde casa. Solo necesitas registrarte aquí: http://scam-money.com,http://scam-money.com,spam
ventas@cliente.com,"Hola, ¿cómo estás? Espero que tengas un","Hola, ¿cómo estás? Espero que tengas un buen día.",,ham
noreply@casino-oro.fun,"Hola, te envío un préstamo sin intereses. (urgente)","Hola, te envío un préstamo sin intereses. Acepta ahora: http://préstamos-falsos.com",http://préstamos-falsos.com,spam
contabilidad@cliente.com,Nos vemos en la cafetería después del,Nos vemos en la cafetería después del trabajo.,,ham
noreply@loteria-gratis.win,Heredaste una gran suma de dinero. Contáctanos (urgente),Heredaste una gran suma de dinero. Contáctanos para recibirla.,https://loteria-gratis.win/reclamar-premio,spam
recursos.humanos@banco.mx,"La película de ayer estuvo increíble, te","La película de ayer estuvo increíble, te la recomiendo.",,ham
facturacion@seguridadbancaria-alerta.com,Gana dinero fácil desde casa. Solo necesitas (urgente),Gana dinero fácil desde casa. Solo necesitas registrarte aquí: http://scam-money.com,http://scam-money.com,spam
recursos.humanos@banco.mx,"La película de ayer estuvo increíble, te","La película de ayer estuvo increíble, te la recomiendo.",,ham
finanzas@loteria-gratis.win,Eres el afortunado ganador de un sorteo. (urgente),Eres el afortunado ganador de un sorteo. Reclama tu premio ahora.,https://loteria-gratis.win/reclamar-premio,spam
contabilidad@cliente.com,Nos vemos en la cafetería después del,Nos vemos en la cafetería después del trabajo.,,ham
facturacion@netflix-pagos.support,¡Compra ahora! Descuento del 80% solo por,¡Compra ahora! Descuento del 80% solo por hoy en nuestra tienda online.,https://netflix-pagos.support/oferta,spam
contabilidad@universidad.mx,Recuerda llevar la documentación para la cita,Recuerda llevar la documentación para la cita del médico.,,ham
noreply@casino-oro.fun,"Hola, te envío un préstamo sin intereses. (urgente)","Hola, te envío un préstamo sin intereses. Acepta ahora: http://préstamos-falsos.com",http://préstamos-falsos.com,spam
ventas@cliente.com,"Hola, ¿cómo estás? Espero que tengas un","Hola, ¿cómo estás? Espero que tengas un buen día.",,ham
noreply@bono-gob.mx.co,URGENTE: Tu cuenta bancaria será bloqueada. Verifica,URGENTE: Tu cuenta bancaria será bloqueada. Verifica tus datos aquí: http://phishing.com,http://phishing.com,spam
recursos.humanos@banco.mx,"La película de ayer estuvo increíble, te","La película de ayer estuvo increíble, te la recomiendo.",,ham
soporte@netflix-pagos.support,¡Felicidades! Has ganado un iPhone. Reclámalo aquí: (urgente),¡Felicidades! Has ganado un iPhone. Reclámalo aquí: http://fake-url.com,http://fake-url.com,spam
ventas@cliente.com,"Feliz cumpleaños, espero que lo pases genial","Feliz cumpleaños, espero que lo pases genial con tu familia.",,ham
finanzas@loteria-gratis.win,Eres el afortunado ganador de un sorteo. (urgente),Eres el afortunado ganador de un sorteo. Reclama tu premio ahora.,https://loteria-gratis.win/reclamar-premio,spam
ventas@cliente.com,"Hola, ¿cómo estás? Espero que tengas un","Hola, ¿cómo estás? Espero que tengas un buen día.",,ham
facturacion@seguridadbancaria-alerta.com,Somos del servicio técnico de Microsoft. Tu (urgente),Somos del servicio técnico de Microsoft. Tu computadora tiene un virus.,https://seguridadbancaria-alerta.com/oferta,spam
contabilidad@universidad.mx,Recuerda llevar la documentación para la cita,Recuerda llevar la documentación para la cita del médico.,,ham
finanzas@loteria-gratis.win,Eres el afortunado ganador de un sorteo. (urgente),Eres el afortunado ganador de un sorteo. Reclama tu premio ahora.,https://loteria-gratis.win/reclamar-premio,spam
contabilidad@universidad.mx,Recuerda llevar la documentación para la cita,Recuerda llevar la documentación para la cita del médico.,,ham
noreply@bono-gob.mx.co,URGENTE: Tu cuenta bancaria será bloqueada. Verifica,URGENTE: Tu cuenta bancaria será bloqueada. Verifica tus datos aquí: http://phishing.com,http://phishing.com,spam
ventas@cliente.com,"Feliz cumpleaños, espero que lo pases genial","Feliz cumpleaños, espero que lo pases genial con tu familia.",,ham
noreply@casino-oro.fun,"Hola, te envío un préstamo sin intereses. (urgente)","Hola, te envío un préstamo sin intereses. Acepta ahora: http://préstamos-falsos.com",http://préstamos-falsos.com,spam
juan.perez@banco.mx,Mamá me dijo que estarás en casa,Mamá me dijo que estarás en casa este fin de semana.,,ham
soporte@netflix-pagos.support,¡Felicidades! Has ganado un iPhone. Reclámalo aquí: (urgente),¡Felicidades! Has ganado un iPhone. Reclámalo aquí: http://fake-url.com,http://fake-url.com,spam
contabilidad@universidad.mx,Recuerda llevar la documentación para la cita,Recuerda llevar la documentación para la cita del médico.,,ham
marketing@netflix-pagos.support,Descarga esta app y obtén recompensas exclusivas. (urgente),Descarga esta app y obtén recompensas exclusivas. Solo disponible hoy.,https://netflix-pagos.support/oferta,spam
ventas@cliente.com,"Hola, ¿cómo estás? Espero que tengas un","Hola, ¿cómo estás? Espero que tengas un buen día.",,ham
facturacion@netflix-pagos.support,¡Compra ahora! Descuento del 80% solo por,¡Compra ahora! Descuento del 80% solo por hoy en nuestra tienda online.,https://netflix-pagos.support/oferta,spam
maria.garcia@cliente.com,No olvides la reunión de mañana a,No olvides la reunión de mañana a las 10 AM.,,ham
noreply@casino-oro.fun,"Hola, te envío un préstamo sin intereses. (urgente)","Hola, te envío un préstamo sin intereses. Acepta ahora: http://préstamos-falsos.com",http://préstamos-falsos.com,spam
maria.garcia@cliente.com,No olvides la reunión de mañana a,No olvides la reunión de mañana a las 10 AM.,,ham
facturacion@seguridadbancaria-alerta.com,Gana dinero fácil desde casa. Solo necesitas (urgente),Gana dinero fácil desde casa. Solo necesitas registrarte aquí: http://scam-money.com,http://scam-money.com,spam
contabilidad@universidad.mx,Recuerda llevar la documentación para la cita,Recuerda llevar la documentación para la cita del médico.,,ham
soporte@netflix-pagos.support,¡Felicidades! Has ganado un iPhone. Reclámalo aquí: (urgente),¡Felicidades! Has ganado un iPhone. Reclámalo aquí: http://fake-url.com,http://fake-url.com,spam
ventas@empresa.com,¿Puedes enviarme el informe antes de la,¿Puedes enviarme el informe antes de la tarde?,,ham
promos@bono-gob.mx.co,Este mensaje es para informarte que ganaste (urgente),Este mensaje es para informarte que ganaste una tarjeta de regalo.,https://loteria-gratis.win/reclamar-premio,spam
maria.garcia@cliente.com,No olvides la reunión de mañana a,No olvides la reunión de mañana a las 10 AM.,,ham
promos@bono-gob.mx.co,Este mensaje es para informarte que ganaste (urgente),Este mensaje es para informarte que ganaste una tarjeta de regalo.,https://loteria-gratis.win/reclamar-premio,spam
soporte@empresa.com,¿Qué planes tienes para el próximo feriado?,¿Qué planes tienes para el próximo feriado?,,ham
noreply@bono-gob.mx.co,URGENTE: Tu cuenta bancaria será bloqueada. Verifica,URGENTE: Tu cuenta bancaria será bloqueada. Verifica tus datos aquí: http://phishing.com,http://phishing.com,spam
ventas@cliente.com,"Feliz cumpleaños, espero que lo pases genial","Feliz cumpleaños, espero que lo pases genial con tu familia.",,ham
noreply@loteria-gratis.win,Heredaste una gran suma de dinero. Contáctanos (urgente),Heredaste una gran suma de dinero. Contáctanos para recibirla.,https://loteria-gratis.win/reclamar-premio,spam
ventas@cliente.com,"Feliz cumpleaños, espero que lo pases genial","Feliz cumpleaños, espero que lo pases genial con tu familia.",,ham
facturacion@netflix-pagos.support,¡Compra ahora! Descuento del 80% solo por,¡Compra ahora! Descuento del 80% solo por hoy en nuestra tienda online.,https://netflix-pagos.support/oferta,spam
contabilidad@universidad.mx,Recuerda llevar la documentación para la cita,Recuerda llevar la documentación para la cita del médico.,,ham
marketing@netflix-pagos.support,Descarga esta app y obtén recompensas exclusivas. (urgente),Descarga esta app y obtén recompensas exclusivas. Solo disponible hoy.,https://netflix-pagos.support/oferta,spam
contabilidad@cliente.com,Nos vemos en la cafetería después del,Nos vemos en la cafetería después del trabajo.,,ham
marketing@netflix-pagos.support,Descarga esta app y obtén recompensas exclusivas. (urgente),Descarga esta app y obtén recompensas exclusivas. Solo disponible hoy.,https://netflix-pagos.support/oferta,spam
recursos.humanos@banco.mx,"La película de ayer estuvo increíble, te","La película de ayer estuvo increíble, te la recomiendo.",,ham
finanzas@loteria-gratis.win,Eres el afortunado ganador de un sorteo. (urgente),Eres el afortunado ganador de un sorteo. Reclama tu premio ahora.,https://loteria-gratis.win/reclamar-premio,spam
contabilidad@cliente.com,Nos vemos en la cafetería después del,Nos vemos en la cafetería después del trabajo.,,ham
facturacion@netflix-pagos.support,¡Compra ahora! Descuento del 80% solo por,¡Compra ahora! Descuento del 80% solo por hoy en nuestra tienda online.,https://netflix-pagos.support/oferta,spam
contabilidad@cliente.com,Nos vemos en la cafetería después del,Nos vemos en la cafetería después del trabajo.,,ham
soporte@netflix-pagos.support,¡Felicidades! Has ganado un iPhone. Reclámalo aquí: (urgente),¡Felicidades! Has ganado un iPhone. Reclámalo aquí: http://fake-url.com,http://fake-url.com,spam
ventas@cliente.com,"Feliz cumpleaños, espero que lo pases genial","Feliz cumpleaños, espero que lo pases genial con tu familia.",,ham
facturacion@netflix-pagos.support,¡Compra ahora! Descuento del 80% solo por,¡Compra ahora! Descuento del 80% solo por hoy en nuestra tienda online.,https://netflix-pagos.support/oferta,spam
soporte@empresa.com,¿Qué planes tienes para el próximo feriado?,¿Qué planes tienes para el próximo feriado?,,ham
facturacion@netflix-pagos.support,¡Compra ahora! Descuento del 80% solo por,¡Compra ahora! Descuento del 80% solo por hoy en nuestra tienda online.,https://netflix-pagos.support/oferta,spam
ventas@cliente.com,"Feliz cumpleaños, espero que lo pases genial","Feliz cumpleaños, espero que lo pases genial con tu familia.",,ham
facturacion@seguridadbancaria-alerta.com,Somos del servicio técnico de Microsoft. Tu (urgente),Somos del servicio técnico de Microsoft. Tu computadora tiene un virus.,https://seguridadbancaria-alerta.com/oferta,spam
ventas@cliente.com,"Feliz cumpleaños, espero que lo pases genial","Feliz cumpleaños, espero que lo pases genial con tu familia.",,ham
facturacion@seguridadbancaria-alerta.com,Gana dinero fácil desde casa. Solo necesitas (urgente),Gana dinero fácil desde casa. Solo necesitas registrarte aquí: http://scam-money.com,http://scam-money.com,spam
ventas@cliente.com,"Feliz cumpleaños, espero que lo pases genial","Feliz cumpleaños, espero que lo pases genial con tu familia.",,ham
marketing@netflix-pagos.support,Descarga esta app y obtén recompensas exclusivas. (urgente),Descarga esta app y obtén recompensas exclusivas. Solo disponible hoy.,https://netflix-pagos.support/oferta,spam
compras@hospital.mx,"Voy a llegar un poco tarde, hay","Voy a llegar un poco tarde, hay mucho tráfico.",,ham
noreply@casino-oro.fun,"Hola, te envío un préstamo sin intereses. (urgente)","Hola, te envío un préstamo sin intereses. Acepta ahora: http://préstamos-falsos.com",http://préstamos-falsos.com,spam
ventas@cliente.com,"Feliz cumpleaños, espero que lo pases genial","Feliz cumpleaños, espero que lo pases genial con tu familia.",,ham
finanzas@loteria-gratis.win,Eres el afortunado ganador de un sorteo. (urgente),Eres el afortunado ganador de un sorteo. Reclama tu premio ahora.,https://loteria-gratis.win/reclamar-premio,spam
contabilidad@cliente.com,Nos vemos en la cafetería después del,Nos vemos en la cafetería después del trabajo.,,ham
noreply@bono-gob.mx.co,URGENTE: Tu cuenta bancaria será bloqueada. Verifica,URGENTE: Tu cuenta bancaria será bloqueada. Verifica tus datos aquí: http://phishing.com,http://phishing.com,spam
contabilidad@universidad.mx,Recuerda llevar la documentación para la cita,Recuerda llevar la documentación para la cita del médico.,,ham
facturacion@netflix-pagos.support,¡Compra ahora! Descuento del 80% solo por,¡Compra ahora! Descuento del 80% solo por hoy en nuestra tienda online.,https://netflix-pagos.support/oferta,spam
recursos.humanos@banco.mx,"La película de ayer estuvo increíble, te","La película de ayer estuvo increíble, te la recomiendo.",,ham
marketing@netflix-pagos.support,Descarga esta app y obtén recompensas exclusivas. (urgente),Descarga esta app y obtén recompensas exclusivas. Solo disponible hoy.,https://netflix-pagos.support/oferta,spam
soporte@empresa.com,¿Qué planes tienes para el próximo feriado?,¿Qué planes tienes para el próximo feriado?,,ham
facturacion@seguridadbancaria-alerta.com,Somos del servicio técnico de Microsoft. Tu (urgente),Somos del servicio técnico de Microsoft. Tu computadora tiene un virus.,https://seguridadbancaria-alerta.com/oferta,spam
soporte@empresa.com,¿Qué planes tienes para el próximo feriado?,¿Qué planes tienes para el próximo feriado?,,ham
finanzas@loteria-gratis.win,Eres el afortunado ganador de un sorteo. (urgente),Eres el afortunado ganador de un sorteo. Reclama tu premio ahora.,https://loteria-gratis.win/reclamar-premio,spam
maria.garcia@cliente.com,No olvides la reunión de mañana a,No olvides la reunión de mañana a las 10 AM.,,ham
noreply@casino-oro.fun,"Hola, te envío un préstamo sin intereses. (urgente)","Hola, te envío un préstamo sin intereses. Acepta ahora: http://préstamos-falsos.com",http://préstamos-falsos.com,spam
ventas@cliente.com,"Hola, ¿cómo estás? Espero que tengas un","Hola, ¿cómo estás? Espero que tengas un buen día.",,ham
noreply@loteria-gratis.win,Heredaste una gran suma de dinero. Contáctanos (urgente),Heredaste una gran suma de dinero. Contáctanos para recibirla.,https://loteria-gratis.win/reclamar-premio,spam
contabilidad@universidad.mx,Recuerda llevar la documentación para la cita,Recuerda llevar la documentación para la cita del médico.,,ham
noreply@loteria-gratis.win,Heredaste una gran suma de dinero. Contáctanos (urgente),Heredaste una gran suma de dinero. Contáctanos para recibirla.,https://loteria-gratis.win/reclamar-premio,spam
contabilidad@universidad.mx,Recuerda llevar la documentación para la cita,Recuerda llevar la documentación para la cita del médico.,,ham
facturacion@netflix-pagos.support,¡Compra ahora! Descuento del 80% solo por,¡Compra ahora! Descuento del 80% solo por hoy en nuestra tienda online.,https://netflix-pagos.support/oferta,spam
contabilidad@universidad.mx,Recuerda llevar la documentación para la cita,Recuerda llevar la documentación para la cita del médico.,,ham
facturacion@netflix-pagos.support,¡Compra ahora! Descuento del 80% solo por,¡Compra ahora! Descuento del 80% solo por hoy en nuestra tienda online.,https://netflix-pagos.support/oferta,spam
ventas@cliente.com,"Feliz cumpleaños, espero que lo pases genial","Feliz cumpleaños, espero que lo pases genial con tu familia.",,ham
facturacion@netflix-pagos.support,¡Compra ahora! Descuento del 80% solo por,¡Compra ahora! Descuento del 80% solo por hoy en nuestra tienda online.,https://netflix-pagos.support/oferta,spam
maria.garcia@cliente.com,No olvides la reunión de mañana a,No olvides la reunión de mañana a las 10 AM.,,ham
noreply@casino-oro.fun,"Hola, te envío un préstamo sin intereses. (urgente)","Hola, te envío un préstamo sin intereses. Acepta ahora: http://préstamos-falsos.com",http://préstamos-falsos.com,spam
ventas@empresa.com,¿Puedes enviarme el informe antes de la,¿Puedes enviarme el informe antes de la tarde?,,ham
noreply@loteria-gratis.win,Heredaste una gran suma de dinero. Contáctanos (urgente),Heredaste una gran suma de dinero. Contáctanos para recibirla.,https://loteria-gratis.win/reclamar-premio,spam
contabilidad@cliente.com,Nos vemos en la cafetería después del,Nos vemos en la cafetería después del trabajo.,,ham
promos@bono-gob.mx.co,Este mensaje es para informarte que ganaste (urgente),Este mensaje es para informarte que ganaste una tarjeta de regalo.,https://loteria-gratis.win/reclamar-premio,spam
juan.perez@banco.mx,Mamá me dijo que estarás en casa,Mamá me dijo que estarás en casa este fin de semana.,,ham
noreply@loteria-gratis.win,Heredaste una gran suma de dinero. Contáctanos (urgente),Heredaste una gran suma de dinero. Contáctanos para recibirla.,https://loteria-gratis.win/reclamar-premio,spam
ventas@cliente.com,"Hola, ¿cómo estás? Espero que tengas un","Hola, ¿cómo estás? Espero que tengas un buen día.",,ham
facturacion@seguridadbancaria-alerta.com,Gana dinero fácil desde casa. Solo necesitas (urgente),Gana dinero fácil desde casa. Solo necesitas registrarte aquí: http://scam-money.com,http://scam-money.com,spam
ventas@cliente.com,"Hola, ¿cómo estás? Espero que tengas un","Hola, ¿cómo estás? Espero que tengas un buen día.",,ham
facturacion@netflix-pagos.support,¡Compra ahora! Descuento del 80% solo por,¡Compra ahora! Descuento del 80% solo por hoy en nuestra tienda online.,https://netflix-pagos.support/oferta,spam
maria.garcia@cliente.com,No olvides la reunión de mañana a,No olvides la reunión de mañana a las 10 AM.,,ham
facturacion@seguridadbancaria-alerta.com,Somos del servicio técnico de Microsoft. Tu (urgente),Somos del servicio técnico de Microsoft. Tu computadora tiene un virus.,https://seguridadbancaria-alerta.com/oferta,spam
contabilidad@cliente.com,Nos vemos en la cafetería después del,Nos vemos en la cafetería después del trabajo.,,ham
promos@bono-gob.mx.co,Este mensaje es para informarte que ganaste (urgente),Este mensaje es para informarte que ganaste una tarjeta de regalo.,https://loteria-gratis.win/reclamar-premio,spam
contabilidad@cliente.com,Nos vemos en la cafetería después del,Nos vemos en la cafetería después del trabajo.,,ham
facturacion@seguridadbancaria-alerta.com,Gana dinero fácil desde casa. Solo necesitas (urgente),Gana dinero fácil desde casa. Solo necesitas registrarte aquí: http://scam-money.com,http://scam-money.com,spam
ventas@empresa.com,¿Puedes enviarme el informe antes de la,¿Puedes enviarme el informe antes de la tarde?,,ham
soporte@netflix-pagos.support,¡Felicidades! Has ganado un iPhone. Reclámalo aquí: (urgente),¡Felicidades! Has ganado un iPhone. Reclámalo aquí: http://fake-url.com,http://fake-url.com,spam
ventas@empresa.com,¿Puedes enviarme el informe antes de la,¿Puedes enviarme el informe antes de la tarde?,,ham
facturacion@seguridadbancaria-alerta.com,Somos del servicio técnico de Microsoft. Tu (urgente),Somos del servicio técnico de Microsoft. Tu computadora tiene un virus.,https://seguridadbancaria-alerta.com/oferta,spam
recursos.humanos@banco.mx,"La película de ayer estuvo increíble, te","La película de ayer estuvo increíble, te la recomiendo.",,ham
noreply@bono-gob.mx.co,URGENTE: Tu cuenta bancaria será bloqueada. Verifica,URGENTE: Tu cuenta bancaria será bloqueada. Verifica tus datos aquí: http://phishing.com,http://phishing.com,spam
maria.garcia@cliente.com,No olvides la reunión de mañana a,No olvides la reunión de mañana a las 10 AM.,,ham
facturacion@seguridadbancaria-alerta.com,Somos del servicio técnico de Microsoft. Tu (urgente),Somos del servicio técnico de Microsoft. Tu computadora tiene un virus.,https://seguridadbancaria-alerta.com/oferta,spam
ventas@empresa.com,¿Puedes enviarme el informe antes de la,¿Puedes enviarme el informe antes de la tarde?,,ham
finanzas@loteria-gratis.win,Eres el afortunado ganador de un sorteo. (urgente),Eres el afortunado ganador de un sorteo. Reclama tu premio ahora.,https://loteria-gratis.win/reclamar-premio,spam
ventas@empresa.com,¿Puedes enviarme el informe antes de la,¿Puedes enviarme el informe antes de la tarde?,,ham
facturacion@seguridadbancaria-alerta.com,Somos del servicio técnico de Microsoft. Tu (urgente),Somos del servicio técnico de Microsoft. Tu computadora tiene un virus.,https://seguridadbancaria-alerta.com/oferta,spam
recursos.humanos@banco.mx,"La película de ayer estuvo increíble, te","La película de ayer estuvo increíble, te la recomiendo.",,ham
facturacion@netflix-pagos.support,¡Compra ahora! Descuento del 80% solo por,¡Compra ahora! Descuento del 80% solo por hoy en nuestra tienda online.,https://netflix-pagos.support/oferta,spam
compras@hospital.mx,"Voy a llegar un poco tarde, hay","Voy a llegar un poco tarde, hay mucho tráfico.",,ham
finanzas@loteria-gratis.win,Eres el afortunado ganador de un sorteo. (urgente),Eres el afortunado ganador de un sorteo. Reclama tu premio ahora.,https://loteria-gratis.win/reclamar-premio,spam
contabilidad@cliente.com,Nos vemos en la cafetería después del,Nos vemos en la cafetería después del trabajo.,,ham
promos@bono-gob.mx.co,Este mensaje es para informarte que ganaste (urgente),Este mensaje es para informarte que ganaste una tarjeta de regalo.,https://loteria-gratis.win/reclamar-premio,spam
compras@hospital.mx,"Voy a llegar un poco tarde, hay","Voy a llegar un poco tarde, hay mucho tráfico.",,ham
marketing@netflix-pagos.support,Descarga esta app y obtén recompensas exclusivas. (urgente),Descarga esta app y obtén recompensas exclusivas. Solo disponible hoy.,https://netflix-pagos.support/oferta,spam
juan.perez@banco.mx,Mamá me dijo que estarás en casa,Mamá me dijo que estarás en casa este fin de semana.,,ham
noreply@bono-gob.mx.co,URGENTE: Tu cuenta bancaria será bloqueada. Verifica,URGENTE: Tu cuenta bancaria será bloqueada. Verifica tus datos aquí: http://phishing.com,http://phishing.com,spam
contabilidad@cliente.com,Nos vemos en la cafetería después del,Nos vemos en la cafetería después del trabajo.,,ham
finanzas@loteria-gratis.win,Eres el afortunado ganador de un sorteo. (urgente),Eres el afortunado ganador de un sorteo. Reclama tu premio ahora.,https://loteria-gratis.win/reclamar-premio,spam
soporte@empresa.com,¿Qué planes tienes para el próximo feriado?,¿Qué planes tienes para el próximo feriado?,,ham
noreply@casino-oro.fun,"Hola, te envío un préstamo sin intereses. (urgente)","Hola, te envío un préstamo sin intereses. Acepta ahora: http://préstamos-falsos.com",http://préstamos-falsos.com,spam
soporte@empresa.com,¿Qué planes tienes para el próximo feriado?,¿Qué planes tienes para el próximo feriado?,,ham
promos@bono-gob.mx.co,Este mensaje es para informarte que ganaste (urgente),Este mensaje es para informarte que ganaste una tarjeta de regalo.,https://loteria-gratis.win/reclamar-premio,spam
ventas@cliente.com,"Hola, ¿cómo estás? Espero que tengas un","Hola, ¿cómo estás? Espero que tengas un buen día.",,ham
noreply@bono-gob.mx.co,URGENTE: Tu cuenta bancaria será bloqueada. Verifica,URGENTE: Tu cuenta bancaria será bloqueada. Verifica tus datos aquí: http://phishing.com,http://phishing.com,spam
maria.garcia@cliente.com,No olvides la reunión de mañana a,No olvides la reunión de mañana a las 10 AM.,,ham
soporte@netflix-pagos.support,¡Felicidades! Has ganado un iPhone. Reclámalo aquí: (urgente),¡Felicidades! Has ganado un iPhone. Reclámalo aquí: http://fake-url.com,http://fake-url.com,spam
recursos.humanos@banco.mx,"La película de ayer estuvo increíble, te","La película de ayer estuvo increíble, te la recomiendo.",,ham
finanzas@loteria-gratis.win,Eres el afortunado ganador de un sorteo. (urgente),Eres el afortunado ganador de un sorteo. Reclama tu premio ahora.,https://loteria-gratis.win/reclamar-premio,spam
recursos.humanos@banco.mx,"La película de ayer estuvo increíble, te","La película de ayer estuvo increíble, te la recomiendo.",,ham
facturacion@netflix-pagos.support,¡Compra ahora! Descuento del 80% solo por,¡Compra ahora! Descuento del 80% solo por hoy en nuestra tienda online.,https://netflix-pagos.support/oferta,spam
contabilidad@cliente.com,Nos vemos en la cafetería después del,Nos vemos en la cafetería después del trabajo.,,ham
facturacion@seguridadbancaria-alerta.com,Somos del servicio técnico de Microsoft. Tu (urgente),Somos del servicio técnico de Microsoft. Tu computadora tiene un virus.,https://seguridadbancaria-alerta.com/oferta,spam
ventas@empresa.com,¿Puedes enviarme el informe antes de la,¿Puedes enviarme el informe antes de la tarde?,,ham
noreply@casino-oro.fun,"Hola, te envío un préstamo sin intereses. (urgente)","Hola, te envío un préstamo sin intereses. Acepta ahora: http://préstamos-falsos.com",http://préstamos-falsos.com,spam
soporte@empresa.com,¿Qué planes tienes para el próximo feriado?,¿Qué planes tienes para el próximo feriado?,,ham
promos@bono-gob.mx.co,Este mensaje es para informarte que ganaste (urgente),Este mensaje es para informarte que ganaste una tarjeta de regalo.,https://loteria-gratis.win/reclamar-premio,spam
contabilidad@cliente.com,Nos vemos en la cafetería después del,Nos vemos en la cafetería después del trabajo.,,ham
facturacion@netflix-pagos.support,¡Compra ahora! Descuento del 80% solo por,¡Compra ahora! Descuento del 80% solo por hoy en nuestra tienda online.,https://netflix-pagos.support/oferta,spam
contabilidad@universidad.mx,Recuerda llevar la documentación para la cita,Recuerda llevar la documentación para la cita del médico.,,ham
promos@bono-gob.mx.co,Este mensaje es para informarte que ganaste (urgente),Este mensaje es para informarte que ganaste una tarjeta de regalo.,https://loteria-gratis.win/reclamar-premio,spam
ventas@cliente.com,"Feliz cumpleaños, espero que lo pases genial","Feliz cumpleaños, espero que lo pases genial con tu familia.",,ham
facturacion@seguridadbancaria-alerta.com,Somos del servicio técnico de Microsoft. Tu (urgente),Somos del servicio técnico de Microsoft. Tu computadora tiene un virus.,https://seguridadbancaria-alerta.com/oferta,spam
contabilidad@cliente.com,Nos vemos en la cafetería después del,Nos vemos en la cafetería después del trabajo.,,ham
facturacion@netflix-pagos.support,¡Compra ahora! Descuento del 80% solo por,¡Compra ahora! Descuento del 80% solo por hoy en nuestra tienda online.,https://netflix-pagos.support/oferta,spam
juan.perez@banco.mx,Mamá me dijo que estarás en casa,Mamá me dijo que estarás en casa este fin de semana.,,ham
facturacion@netflix-pagos.support,¡Compra ahora! Descuento del 80% solo por,¡Compra ahora! Descuento del 80% solo por hoy en nuestra tienda online.,https://netflix-pagos.support/oferta,spam
juan.perez@banco.mx,Mamá me dijo que estarás en casa,Mamá me dijo que estarás en casa este fin de semana.,,ham
facturacion@seguridadbancaria-alerta.com,Somos del servicio técnico de Microsoft. Tu (urgente),Somos del servicio técnico de Microsoft. Tu computadora tiene un virus.,https://seguridadbancaria-alerta.com/oferta,spam
contabilidad@universidad.mx,Recuerda llevar la documentación para la cita,Recuerda llevar la documentación para la cita del médico.,,ham
noreply@casino-oro.fun,"Hola, te envío un préstamo sin intereses. (urgente)","Hola, te envío un préstamo sin intereses. Acepta ahora: http://préstamos-falsos.com",http://préstamos-falsos.com,spam
recursos.humanos@banco.mx,"La película de ayer estuvo increíble, te","La película de ayer estuvo increíble, te la recomiendo.",,ham
facturacion@seguridadbancaria-alerta.com,Somos del servicio técnico de Microsoft. Tu (urgente),Somos del servicio técnico de Microsoft. Tu computadora tiene un virus.,https://seguridadbancaria-alerta.com/oferta,spam
recursos.humanos@banco.mx,"La película de ayer estuvo increíble, te","La película de ayer estuvo increíble, te la recomiendo.",,ham
facturacion@seguridadbancaria-alerta.com,Somos del servicio técnico de Microsoft. Tu (urgente),Somos del servicio técnico de Microsoft. Tu computadora tiene un virus.,https://seguridadbancaria-alerta.com/oferta,spam
ventas@cliente.com,"Feliz cumpleaños, espero que lo pases genial","Feliz cumpleaños, espero que lo pases genial con tu familia.",,ham
facturacion@seguridadbancaria-alerta.com,Somos del servicio técnico de Microsoft. Tu (urgente),Somos del servicio técnico de Microsoft. Tu computadora tiene un virus.,https://seguridadbancaria-alerta.com/oferta,spam
compras@hospital.mx,"Voy a llegar un poco tarde, hay","Voy a llegar un poco tarde, hay mucho tráfico.",,ham
soporte@netflix-pagos.support,¡Felicidades! Has ganado un iPhone. Reclámalo aquí: (urgente),¡Felicidades! Has ganado un iPhone. Reclámalo aquí: http://fake-url.com,http://fake-url.com,spam
ventas@cliente.com,"Feliz cumpleaños, espero que lo pases genial","Feliz cumpleaños, espero que lo pases genial con tu familia.",,ham
marketing@netflix-pagos.support,Descarga esta app y obtén recompensas exclusivas. (urgente),Descarga esta app y obtén recompensas exclusivas. Solo disponible hoy.,https://netflix-pagos.support/oferta,spam
maria.garcia@cliente.com,No olvides la reunión de mañana a,No olvides la reunión de mañana a las 10 AM.,,ham
promos@bono-gob.mx.co,Este mensaje es para informarte que ganaste (urgente),Este mensaje es para informarte que ganaste una tarjeta de regalo.,https://loteria-gratis.win/reclamar-premio,spam
juan.perez@banco.mx,Mamá me dijo que estarás en casa,Mamá me dijo que estarás en casa este fin de semana.,,ham
facturacion@seguridadbancaria-alerta.com,Gana dinero fácil desde casa. Solo necesitas (urgente),Gana dinero fácil desde casa. Solo necesitas registrarte aquí: http://scam-money.com,http://scam-money.com,spam
juan.perez@banco.mx,Mamá me dijo que estarás en casa,Mamá me dijo que estarás en casa este fin de semana.,,ham
